serial;name;height;width;depth;weight;shortDescription;longDescription
P78909;Outdoor-Campingkochset;15;10;5;180;Das Set, das das Kochen im Freien zum Vergnügen macht.;Unser Outdoor-Campingkochset enthält alle notwendigen Utensilien für köstliche Mahlzeiten in der Natur.
P89020;Supersportwagen für Sammler;130;220;45;2800;Der Supersportwagen, der Ihre Sammlung vervollständigt.;Unser Supersportwagen für Sammler bietet eine einzigartige Kombination aus Design und Geschwindigkeit. Ein begehrtes Sammlerstück.
P90129;Elegante Damenhandtasche;12;18;8;200;Die Handtasche, die Ihren Alltag stilvoll begleitet.;Unsere elegante Damenhandtasche ist die perfekte Kombination aus Funktionalität und Mode. Ideal für Berufstätige und Trendsetterinnen.
P01241;Smart-Home-Beleuchtungssystem;5;5;5;90;Intelligente Beleuchtung für Ihr Zuhause.;Unser Smart-Home-Beleuchtungssystem ermöglicht Ihnen die vollständige Kontrolle über die Beleuchtung in Ihrem Zuhause für mehr Komfort und Energieeffizienz.
P12353;Premium-Kaffeemaschine;12;10;14;400;Die Kaffeemaschine, die Ihren Kaffeegenuss perfektioniert.;Unsere Premium-Kaffeemaschine bietet erstklassigen Kaffee auf Knopfdruck mit einer Vielzahl von Anpassungsmöglichkeiten.
P23464;Faltbares Elektro-Mountainbike;70;40;20;1800;Das Bike, das Abenteuerliebhaber begeistert.;Unser faltbares Elektro-Mountainbike bietet die perfekte Kombination aus Abenteuer und Komfort. Ideal für Offroad-Fahrten.
P34575;Grill-Set für Grillfans;15;10;5;150;Das Set, das Grillfans glücklich macht.;Unser Grill-Set enthält hochwertige Grillutensilien und Werkzeuge für perfekte Grillergebnisse im Freien.
P45687;Kaschmirpullover für Herren;70;50;2;220;Der Pullover, der Wärme und Stil vereint.;Unser Kaschmirpullover für Herren hält Sie warm und sieht dabei elegant aus. Perfekt für kühle Tage.
P56788;4K-Ultra-HD-LED-Fernseher;65;120;6;1800;Das ultimative Heimkinoerlebnis in atemberaubender 4K-Qualität.;Unser 4K-Ultra-HD-LED-Fernseher bietet gestochen scharfe Bilder und ein immersives Klangerlebnis für Filmliebhaber.
P67899;Damen-Laufschuhe;5;6;3;60;Komfortable Laufschuhe mit Stil.;Unsere Damen-Laufschuhe bieten Dämpfung und Halt für Ihre Laufaktivitäten. Ideal für sportliche Frauen.
P78910;Whisky-Tasting-Abend für Kenner;1;1;1;80;Ein exklusives Abendessen und Whisky-Verkostung für Kenner.;Unser Whisky-Tasting-Abend bietet die Gelegenheit, seltene Whiskys zu probieren und Wissen zu vertiefen.
P89021;Moderne Wanddekoration;60;80;1;350;Kunstwerke, die Ihre Wände verschönern und inspirieren.;Unsere moderne Wanddekoration verleiht jedem Raum eine zeitgenössische und kreative Atmosphäre.
P01242;Designer-Herrenanzug;180;50;30;900;Der Anzug, der Ihren Stil perfektioniert.;Unser Designer-Herrenanzug ist ein Symbol für Eleganz und Raffinesse. Mit exquisitem Schnitt und hochwertigen Materialien werden Sie zum Blickfang bei jedem Anlass.
P12354;Premium-Tablet-PC;10;7;0.6;350;Die ultimative Kombination aus Stil und Leistung.;Unser Premium-Tablet-PC bietet beeindruckende Funktionen und ein hochauflösendes Display für produktives Arbeiten und Unterhaltung unterwegs.
P23465;Bio-Olivenöl aus mediterranen Hainen;10;5;5;180;Das authentische Olivenöl für Gourmets.;Unser Bio-Olivenöl wird aus den besten Oliven mediterraner Haine gewonnen und verleiht Ihren Gerichten einen einzigartigen Geschmack.
P34576;Drahtlose Gaming-Tastatur;6;18;2;80;Die Tastatur, die Ihre Gaming-Erfahrung verbessert.;Unsere drahtlose Gaming-Tastatur bietet reaktionsschnelle Tasten und RGB-Hintergrundbeleuchtung für ein optimales Spielerlebnis.
P45688;Elegantes Damenabendkleid;160;40;20;450;Das Kleid, das Ihre Eleganz unterstreicht.;Unser elegantes Damenabendkleid ist perfekt für festliche Anlässe. Mit exquisiter Verarbeitung und zeitlosem Design strahlen Sie pure Eleganz aus.
P56789;Digitale Zeichenpads für Künstler;12;16;0.5;120;Das Zeichenpad, das Ihre kreativen Visionen Wirklichkeit werden lässt.;Unsere digitalen Zeichenpads bieten Präzision und eine natürliche Stift- und Pinselreaktion für Künstler und Illustratoren.
P67900;Luxus-Damenuhr mit Perlen;8;8;1;100;Die Uhr, die Ihre Handgelenke schmückt.;Unsere Luxus-Damenuhr mit Perlen ist ein elegantes Schmuckstück, das Luxus und Schönheit verkörpert. Ein Highlight für anspruchsvolle Frauen.
P78911;Camping-Ausrüstung für Abenteurer;70;40;30;700;Die Ausrüstung, die Ihr Outdoor-Abenteuer unvergesslich macht.;Unsere Camping-Ausrüstung bietet Komfort und Langlebigkeit für anspruchsvolle Abenteurer. Ideal für Campingausflüge in der Natur.
P89022;Supersportwagen für Sammler;130;220;45;2900;Der Supersportwagen, der Ihre Sammlung vervollständigt.;Unser Supersportwagen für Sammler ist eine seltene Kostbarkeit und ein Traumauto für Sammler von Luxusautos.
P90130;Elegantes Perlenarmband;6;6;0.5;80;Das Armband, das Ihren Stil unterstreicht.;Unser elegantes Perlenarmband verleiht Ihrem Handgelenk eine zeitlose Eleganz. Perfekt für Hochzeiten und besondere Anlässe.
P01243;Smart-Home-Überwachungskamera;6;6;6;70;Sicherheit und Überwachung für Ihr Zuhause.;Unsere Smart-Home-Überwachungskamera ermöglicht Ihnen die Fernüberwachung Ihres Eigentums und bietet Schutz rund um die Uhr.
P12355;Premium-Espressomaschine;12;10;14;420;Die Espressomaschine, die Kaffee in Perfektion zubereitet.;Unsere Premium-Espressomaschine bietet professionelle Qualität und Aromavielfalt für echte Kaffeegenießer.
P23466;Faltbarer Elektro-Roller;70;30;40;1500;Die umweltfreundliche Lösung für urbane Mobilität.;Unser faltbarer Elektro-Roller bietet schnelles und bequemes Pendeln in der Stadt ohne Emissionen.
P34577;Grill-Set für Grillmeister;15;10;5;160;Das Set, das Grillmeister begeistert.;Unser Grill-Set enthält hochwertige Grillutensilien und Werkzeuge für erstklassige Grillergebnisse im Freien.
P45689;Kaschmir-Schal für Damen;180;30;0.5;60;Der Schal, der Wärme und Eleganz vereint.;Unser Kaschmir-Schal für Damen hält Sie warm und verleiht Ihrem Outfit eine luxuriöse Note. Perfekt für kühle Tage.
P56790;4K-Ultra-HD-LED-Fernseher;75;135;6;2200;Das ultimative Heimkinoerlebnis in atemberaubender 4K-Qualität.;Unser 4K-Ultra-HD-LED-Fernseher bietet gestochen scharfe Bilder und beeindruckenden Klang für Film- und Serienfans.
P67901;Herren-Sport-Tanktops;5;6;2;35;Bequeme Sport-Tanktops mit Stil.;Unsere Herren-Sport-Tanktops bieten Atmungsaktivität und Bewegungsfreiheit für aktive Männer. Ideal für Training und Sport.
P78912;Whisky-Geschenkset für Genießer;8;8;4;110;Ein exklusives Geschenkset für Whisky-Liebhaber.;Unser Whisky-Geschenkset enthält erlesene Whiskys und passendes Zubehör für unvergessliche Genussmomente.
P89023;Moderne Wandkunst auf Leinwand;70;90;1;320;Kunstwerke, die Ihre Wände zum Leben erwecken.;Unsere moderne Wandkunst auf Leinwand verleiht jedem Raum eine zeitgenössische und inspirierende Atmosphäre.
P01244;Designer-Sonnenbrille;5;15;5;40;Die Sonnenbrille, die Ihren Stil auf die nächste Stufe hebt.;Unsere Designer-Sonnenbrille bietet nicht nur Schutz vor der Sonne, sondern ist auch ein modisches Statement für sonnige Tage.
